date,city,company,desc,price
2026-05-27,HASSAN,Vencobb,(Large) Per kg,121.0
2026-05-27,MYSORE,Vencobb,(Large) Per kg,119.0
2026-05-27,SHIMOGA,Vencobb,(Large) Per kg,121.0
2026-05-27,hosadurga,Vencobb,(Large) Per Kg,121.0
2026-05-28,BANGALORE,Vencobb,(Large) Per kg,119.0
2026-05-28,HASSAN,Vencobb,(Large) Per kg,123.0
2026-05-28,MYSORE,Vencobb,(Large) Per kg,121.0
2026-05-28,SHIMOGA,Vencobb,(Large) Per kg,123.0
2026-05-28,hosadurga,Vencobb,(Large) Per Kg,123.0
2026-05-29,BANGALORE,Vencobb,(Large) Per kg,121.0
2026-05-29,HASSAN,Vencobb,(Large) Per kg,125.0
2026-05-29,MYSORE,Vencobb,(Large) Per kg,123.0
2026-05-29,SHIMOGA,Vencobb,(Large) Per kg,125.0
2026-05-29,hosadurga,Vencobb,(Large) Per Kg,125.0
2026-05-30,BANGALORE,Vencobb,(Large) Per kg,124.0
2026-05-30,HASSAN,Vencobb,(Large) Per kg,128.0
2026-05-30,MYSORE,Vencobb,(Large) Per kg,126.0
2026-05-30,SHIMOGA,Vencobb,(Large) Per kg,128.0
2026-05-30,hosadurga,Vencobb,(Large) Per Kg,128.0
2026-05-31,BANGALORE,Vencobb,(Large) Per kg,124.0
2026-05-31,HASSAN,Vencobb,(Large) Per kg,128.0
2026-05-31,MYSORE,Vencobb,(Large) Per kg,126.0
2026-05-31,SHIMOGA,Vencobb,(Large) Per kg,128.0
2026-05-31,hosadurga,Vencobb,(Large) Per Kg,128.0
2021-04-01,BANGALORE,Vencobb,(Large) Per kg,117.0
2021-04-01,HASSAN,Vencobb,(Large) Per kg,117.0
2021-04-01,MYSORE,Vencobb,(Large) Per kg,116.0
2021-04-01,SHIMOGA,Vencobb,(Large) Per kg,118.0
2021-04-01,hosadurga,Vencobb,(Large) Per Kg,118.0
2021-04-02,BANGALORE,Vencobb,(Large) Per kg,119.0
2021-04-02,HASSAN,Vencobb,(Large) Per kg,119.0
2021-04-02,MYSORE,Vencobb,(Large) Per kg,118.0
2021-04-02,SHIMOGA,Vencobb,(Large) Per kg,115.0
2021-04-02,hosadurga,Vencobb,(Large) Per Kg,115.0
2021-04-03,BANGALORE,Vencobb,(Large) Per kg,124.0
2021-04-03,HASSAN,Vencobb,(Large) Per kg,124.0
2021-04-03,MYSORE,Vencobb,(Large) Per kg,123.0
2021-04-03,SHIMOGA,Vencobb,(Large) Per kg,118.0
2021-04-03,hosadurga,Vencobb,(Large) Per Kg,118.0
2021-04-04,BANGALORE,Vencobb,(Large) Per kg,126.0
